ID_interactor_A,ID_interactor_B,Taxid_interactor_A,Taxid_interactor_B,Interaction_type(s),Interaction_identifier(s),Confidence_value(s),Processing_Status
DIP-26065N|refseq:NP_508413|uniprotkb:Q19162,DIP-24770N|refseq:NP_509182|uniprotkb:Q19082,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41202E,dip-quality-status:,dip:0005(high throughput)
DIP-24770N|refseq:NP_509182|uniprotkb:Q19082,DIP-24288N|refseq:NP_490675|uniprotkb:O01803,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41203E,dip-quality-status:,dip:0005(high throughput)
DIP-24398N|refseq:NP_001021240|uniprotkb:P46563,DIP-24398N|refseq:NP_001021240|uniprotkb:P46563,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41204E,dip-quality-status:,dip:0005(high throughput)
DIP-24726N|refseq:NP_740861|uniprotkb:P91503,DIP-24398N|refseq:NP_001021240|uniprotkb:P46563,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41205E,dip-quality-status:,dip:0005(high throughput)
DIP-26972N|refseq:NP_498266|uniprotkb:Q19088,DIP-25290N|refseq:NP_501086|uniprotkb:Q17746,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41206E,dip-quality-status:,dip:0005(high throughput)
DIP-27429N|refseq:NP_510666|uniprotkb:Q19101,DIP-26972N|refseq:NP_498266|uniprotkb:Q19088,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41207E,dip-quality-status:,dip:0005(high throughput)
DIP-26972N|refseq:NP_498266|uniprotkb:Q19088,DIP-26063N|refseq:NP_502441|uniprotkb:Q8I093,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41208E,dip-quality-status:,dip:0005(high throughput)
DIP-25942N|refseq:NP_498534|uniprotkb:Q19360,DIP-26972N|refseq:NP_498266|uniprotkb:Q19088,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41209E,dip-quality-status:,dip:0005(high throughput)
DIP-26766N|refseq:NP_507060|uniprotkb:O45521,DIP-26972N|refseq:NP_498266|uniprotkb:Q19088,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41210E,dip-quality-status:,dip:0005(high throughput)
DIP-24647N|refseq:NP_506169|uniprotkb:Q21412,DIP-25013N|refseq:NP_510232|uniprotkb:O17624,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41211E,dip-quality-status:,dip:0005(high throughput)
DIP-25109N|refseq:NP_501303|uniprotkb:Q17688,DIP-27186N|refseq:NP_504979|uniprotkb:P91216,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41212E,dip-quality-status:,dip:0005(high throughput)
DIP-26854N|refseq:NP_498209|uniprotkb:O45137,DIP-25704N|refseq:NP_495867|uniprotkb:Q19185,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41213E,dip-quality-status:,dip:0005(high throughput)
DIP-26740N|refseq:NP_502813|uniprotkb:O62444,DIP-25704N|refseq:NP_495867|uniprotkb:Q19185,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41214E,dip-quality-status:,dip:0005(high throughput)
DIP-26855N|refseq:NP_500501|uniprotkb:Q21319,DIP-26590N|uniprotkb:Q9TYS8,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41215E,dip-quality-status:,dip:0005(high throughput)
DIP-26647N|refseq:NP_001020972|uniprotkb:O01839,DIP-24289N|refseq:NP_509282|uniprotkb:Q19201,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41217E,dip-quality-status:,dip:0005(high throughput)
DIP-24289N|refseq:NP_509282|uniprotkb:Q19201,DIP-27211N|refseq:NP_509628|uniprotkb:Q09501,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41218E,dip-quality-status:,dip:0005(high throughput)
DIP-27051N|refseq:NP_510278|uniprotkb:Q20742,DIP-24289N|refseq:NP_509282|uniprotkb:Q19201,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41219E,dip-quality-status:,dip:0005(high throughput)
DIP-26175N|refseq:NP_499004|uniprotkb:P32743,DIP-24289N|refseq:NP_509282|uniprotkb:Q19201,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41221E,dip-quality-status:,dip:0005(high throughput)
DIP-24289N|refseq:NP_509282|uniprotkb:Q19201,DIP-27038N|refseq:NP_001022316|uniprotkb:Q22227,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41222E,dip-quality-status:,dip:0005(high throughput)
DIP-24289N|refseq:NP_509282|uniprotkb:Q19201,DIP-27116N|refseq:NP_510086|uniprotkb:Q22544,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41223E,dip-quality-status:,dip:0005(high throughput)
DIP-25251N|refseq:NP_499260|uniprotkb:P34574,DIP-24289N|refseq:NP_509282|uniprotkb:Q19201,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41224E,dip-quality-status:,dip:0005(high throughput)
DIP-25421N|refseq:NP_001021628|uniprotkb:P91820,DIP-24289N|refseq:NP_509282|uniprotkb:Q19201,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41225E,dip-quality-status:,dip:0005(high throughput)
DIP-24289N|refseq:NP_509282|uniprotkb:Q19201,DIP-26825N|refseq:NP_500636|uniprotkb:Q9N575,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41226E,dip-quality-status:,dip:0005(high throughput)
DIP-24879N|refseq:NP_509283|uniprotkb:Q19202,DIP-27147N|refseq:NP_500618|uniprotkb:Q94261,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41227E,dip-quality-status:,dip:0005(high throughput)
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746,DIP-24879N|refseq:NP_509283|uniprotkb:Q19202,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41228E,dip-quality-status:,dip:0005(high throughput)
DIP-24879N|refseq:NP_509283|uniprotkb:Q19202,DIP-26718N|refseq:NP_498965|uniprotkb:P30632,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41229E,dip-quality-status:,dip:0005(high throughput)
DIP-24471N|refseq:NP_500073|uniprotkb:Q966E8,DIP-26239N|refseq:NP_504438|uniprotkb:Q22949,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41230E,dip-quality-status:,dip:0005(high throughput)
DIP-26385N|refseq:NP_001022799|uniprotkb:O45865,DIP-24453N|refseq:NP_504435|uniprotkb:Q27531,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41231E,dip-quality-status:,dip:0005(high throughput)
DIP-26208N|refseq:NP_504439|uniprotkb:Q22950,DIP-24755N|refseq:NP_510828|uniprotkb:P19626,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41232E,dip-quality-status:,dip:0005(high throughput)
DIP-26208N|refseq:NP_504439|uniprotkb:Q22950,DIP-25979N|refseq:NP_502087|uniprotkb:P40614,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41233E,dip-quality-status:,dip:0005(high throughput)
DIP-24488N|refseq:NP_509130|uniprotkb:Q21432,DIP-26208N|refseq:NP_504439|uniprotkb:Q22950,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41234E,dip-quality-status:,dip:0005(high throughput)
DIP-25377N|refseq:NP_509886|uniprotkb:Q19211,DIP-26515N|refseq:NP_497991,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41235E,dip-quality-status:,dip:0005(high throughput)
DIP-25377N|refseq:NP_509886|uniprotkb:Q19211,DIP-25891N|refseq:NP_502280|uniprotkb:Q22436,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41236E,dip-quality-status:,dip:0005(high throughput)
DIP-25377N|refseq:NP_509886|uniprotkb:Q19211,DIP-26667N|refseq:NP_499409|uniprotkb:Q9U348,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41237E,dip-quality-status:,dip:0005(high throughput)
DIP-27239N|refseq:NP_001022951|uniprotkb:Q9U1S2,DIP-25377N|refseq:NP_509886|uniprotkb:Q19211,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41238E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-26251N|refseq:NP_508112|uniprotkb:Q10941,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41240E,dip-quality-status:,dip:0005(high throughput)
DIP-25603N|refseq:NP_491608|uniprotkb:O02639,DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41241E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-27045N|refseq:NP_501291|uniprotkb:Q18413,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41242E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-24394N|refseq:NP_500390|uniprotkb:Q9N5V2,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41244E,dip-quality-status:,dip:0005(high throughput)
DIP-27323N|refseq:NP_498627|uniprotkb:Q19208,DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41245E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-25623N|refseq:NP_501007|uniprotkb:Q94215,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41247E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-25182N|refseq:NP_508494|uniprotkb:Q20709,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41250E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-25881N|refseq:NP_490676|uniprotkb:O01802,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41251E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-24506N|refseq:NP_498737|uniprotkb:P34460,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41252E,dip-quality-status:,dip:0005(high throughput)
DIP-26633N|refseq:NP_502145|uniprotkb:O45599,DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41253E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-25582N|refseq:NP_502409|uniprotkb:Q21344,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41254E,dip-quality-status:,dip:0005(high throughput)
DIP-26496N|refseq:NP_501211,DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41255E,dip-quality-status:,dip:0005(high throughput)
DIP-24752N|refseq:NP_497854|uniprotkb:Q21899,DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41256E,dip-quality-status:,dip:0005(high throughput)
DIP-26575N|refseq:NP_505001|uniprotkb:Q22212,DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41258E,dip-quality-status:,dip:0005(high throughput)
DIP-27200N|refseq:NP_499936|uniprotkb:Q9UAY0,DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41259E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-25683N|uniprotkb:O45007,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41260E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-25463N|refseq:NP_741698|uniprotkb:Q9NES7,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41261E,dip-quality-status:,dip:0005(high throughput)
DIP-24543N|refseq:NP_496817|uniprotkb:Q9NAG2,DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41262E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-26066N|uniprotkb:Q9BL77,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41263E,dip-quality-status:,dip:0005(high throughput)
DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,DIP-25774N|refseq:NP_502786|uniprotkb:Q9U203,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41264E,dip-quality-status:,dip:0005(high throughput)
DIP-24918N|refseq:NP_497788|uniprotkb:Q23382,DIP-25779N|refseq:NP_496901|uniprotkb:Q9XVA3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41265E,dip-quality-status:,dip:0005(high throughput)
DIP-25860N|uniprotkb:Q9BJ56,DIP-25494N|refseq:NP_506433|uniprotkb:O17776,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41269E,dip-quality-status:,dip:0005(high throughput)
DIP-25547N|refseq:NP_495656|uniprotkb:P45972,DIP-26791N|refseq:NP_741141|uniprotkb:Q8MNT9,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41270E,dip-quality-status:,dip:0005(high throughput)
DIP-27326N|refseq:NP_741404,DIP-26791N|refseq:NP_741141|uniprotkb:Q8MNT9,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41271E,dip-quality-status:,dip:0005(high throughput)
DIP-24464N|refseq:NP_498194|uniprotkb:Q19279,DIP-25723N|refseq:NP_498169|uniprotkb:Q21648,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41272E,dip-quality-status:,dip:0005(high throughput)
DIP-25525N|refseq:NP_495710,DIP-25279N|refseq:NP_497979|uniprotkb:Q17491,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41276E,dip-quality-status:,dip:0005(high throughput)
DIP-25525N|refseq:NP_495710,DIP-25472N|refseq:NP_741371|uniprotkb:Q966C6,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41277E,dip-quality-status:,dip:0005(high throughput)
DIP-26661N|refseq:NP_495711|uniprotkb:Q09535,DIP-24493N|refseq:NP_502934|uniprotkb:O18257,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41279E,dip-quality-status:,dip:0005(high throughput)
DIP-26454N|refseq:NP_497212|uniprotkb:Q9N390,DIP-26429N|refseq:NP_495712|uniprotkb:Q09536,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41281E,dip-quality-status:,dip:0005(high throughput)
DIP-26523N|refseq:NP_498894,DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41282E,dip-quality-status:,dip:0005(high throughput)
DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,DIP-27283N|refseq:NP_508868|uniprotkb:P05690,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41284E,dip-quality-status:,dip:0005(high throughput)
DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,DIP-26405N|refseq:NP_497731|uniprotkb:P41829,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41285E,dip-quality-status:,dip:0005(high throughput)
DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,DIP-24524N|refseq:NP_491871|uniprotkb:Q966M3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41286E,dip-quality-status:,dip:0005(high throughput)
DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,DIP-25688N|refseq:NP_495773|uniprotkb:Q19459,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41288E,dip-quality-status:,dip:0005(high throughput)
DIP-26018N|refseq:NP_492766|uniprotkb:Q93572,DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41289E,dip-quality-status:,dip:0005(high throughput)
DIP-26025N|refseq:NP_492767|uniprotkb:Q93573,DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-41290E,dip-quality-status:core,dip:0005(high throughput)|dip:0005(high throughput)
DIP-25418N|refseq:NP_498642|uniprotkb:O17214,DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41292E,dip-quality-status:,dip:0005(high throughput)
DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,DIP-26259N|refseq:NP_502542|uniprotkb:P61866,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41293E,dip-quality-status:,dip:0005(high throughput)
DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,DIP-24705N|refseq:NP_508800|uniprotkb:Q95QD1,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41294E,dip-quality-status:,dip:0005(high throughput)
DIP-27296N|refseq:NP_509391|uniprotkb:Q9GYM9,DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41295E,dip-quality-status:,dip:0005(high throughput)
DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,DIP-26385N|refseq:NP_001022799|uniprotkb:O45865,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41296E,dip-quality-status:,dip:0005(high throughput)
DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,DIP-26334N|refseq:NP_510021|uniprotkb:Q23150,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41297E,dip-quality-status:,dip:0005(high throughput)
DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,DIP-25099N|refseq:NP_740944|uniprotkb:Q8WQA8,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41298E,dip-quality-status:,dip:0005(high throughput)
DIP-25701N|refseq:NP_504575|uniprotkb:P27798,DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41299E,dip-quality-status:,dip:0005(high throughput)
DIP-24790N|refseq:NP_499504|uniprotkb:O45293,DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41300E,dip-quality-status:,dip:0005(high throughput)
DIP-24631N|refseq:NP_497203|uniprotkb:Q19294,DIP-26440N|refseq:NP_495162|uniprotkb:Q23425,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41301E,dip-quality-status:,dip:0005(high throughput)
DIP-26516N|refseq:NP_501859|uniprotkb:Q21215,DIP-25297N|refseq:NP_504818|uniprotkb:O16922,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41302E,dip-quality-status:,dip:0005(high throughput)
DIP-25297N|refseq:NP_504818|uniprotkb:O16922,DIP-24678N|refseq:NP_502826|uniprotkb:Q9NAP0,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41303E,dip-quality-status:,dip:0005(high throughput)
DIP-24317N|refseq:NP_494836|uniprotkb:Q19325,DIP-25927N|refseq:NP_502187|uniprotkb:Q9TVH6,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41304E,dip-quality-status:,dip:0005(high throughput)
DIP-27423N|refseq:NP_508572|uniprotkb:Q95ZV7,DIP-25588N|refseq:NP_497915|uniprotkb:P47209,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41305E,dip-quality-status:,dip:0005(high throughput)
DIP-26245N|refseq:NP_499573|uniprotkb:Q9XW88,DIP-24504N|refseq:NP_494883|uniprotkb:P91253,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41306E,dip-quality-status:,dip:0005(high throughput)
DIP-26995N|refseq:NP_741456|uniprotkb:Q18192,DIP-25427N|refseq:NP_502179|uniprotkb:Q19370,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41307E,dip-quality-status:,dip:0005(high throughput)
DIP-26569N|refseq:NP_497784|uniprotkb:O17801,DIP-24524N|refseq:NP_491871|uniprotkb:Q966M3,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41309E,dip-quality-status:,dip:0005(high throughput)
DIP-26569N|refseq:NP_497784|uniprotkb:O17801,DIP-26569N|refseq:NP_497784|uniprotkb:O17801,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41310E,dip-quality-status:,dip:0005(high throughput)
DIP-27338N|refseq:NP_497706|uniprotkb:Q21022,DIP-26569N|refseq:NP_497784|uniprotkb:O17801,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41311E,dip-quality-status:,dip:0005(high throughput)
DIP-25178N|refseq:NP_496987|uniprotkb:O62332,DIP-26569N|refseq:NP_497784|uniprotkb:O17801,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41312E,dip-quality-status:,dip:0005(high throughput)
DIP-26569N|refseq:NP_497784|uniprotkb:O17801,DIP-24645N|refseq:NP_499922|uniprotkb:O44408,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41313E,dip-quality-status:,dip:0005(high throughput)
DIP-27099N|refseq:NP_509051|uniprotkb:Q22326,DIP-26569N|refseq:NP_497784|uniprotkb:O17801,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41314E,dip-quality-status:,dip:0005(high throughput)
DIP-26569N|refseq:NP_497784|uniprotkb:O17801,DIP-26385N|refseq:NP_001022799|uniprotkb:O45865,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41315E,dip-quality-status:,dip:0005(high throughput)
DIP-25329N|refseq:NP_503383|uniprotkb:P43509,DIP-26569N|refseq:NP_497784|uniprotkb:O17801,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41316E,dip-quality-status:,dip:0005(high throughput)
DIP-26569N|refseq:NP_497784|uniprotkb:O17801,DIP-27249N|refseq:NP_500409|uniprotkb:Q965X6,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41317E,dip-quality-status:,dip:0005(high throughput)
DIP-26569N|refseq:NP_497784|uniprotkb:O17801,DIP-26035N|refseq:NP_501101|uniprotkb:Q9N3X4,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41319E,dip-quality-status:,dip:0005(high throughput)
DIP-24817N|refseq:NP_001041163|uniprotkb:Q9XUQ4,DIP-26896N|refseq:NP_509787,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41321E,dip-quality-status:,dip:0005(high throughput)
DIP-27292N|refseq:NP_505752|uniprotkb:Q18945,DIP-26956N|refseq:NP_492063|uniprotkb:Q19416,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41322E,dip-quality-status:,dip:0005(high throughput)
DIP-26956N|refseq:NP_492063|uniprotkb:Q19416,DIP-26562N|refseq:NP_499014|uniprotkb:P13508,taxid:6239(Caenorhabditis elegans),taxid:6239(Caenorhabditis elegans),MI:0218(physical interaction),DIP-41323E,dip-quality-status:,dip:0005(high throughput)
